Name,meses_10,meses_13,Q1,Q2,Q3,Q4
S19,1.07872214,0.239625347,0.75814708,1.54E-13,4.96E-187,0.24185292
S190,1.351873735,0.559644301,5.38E-07,2.16E-10,3.37E-176,0.999999462
S191,1.714390138,-0.12038281,0.003452584,5.60E-13,3.37E-184,0.996547416
S192,-0.078070296,-0.497751236,2.92E-05,3.56E-10,9.45E-180,0.999970773
S193,0.536243131,0.616524537,8.53E-08,9.37E-14,3.50E-180,0.999999915
S194,-0.541476745,0.625645413,0.970404148,1.52E-14,1.01E-189,0.029595852
S195,1.413894287,1.501033747,3.48E-05,1.89E-13,3.39E-184,0.999965214
S196,-0.711010877,0.254725854,1.19E-05,1.12E-14,1.59E-186,0.99998807
S197,0.871507938,0.486538897,1.68E-05,7.67E-13,7.34E-183,0.999983209
S198,-0.76880707,-1.060322832,4.63E-06,3.85E-12,3.25E-180,0.99999537
S199,0.193944484,0.511999596,0.999998797,1.38E-19,7.52E-195,1.20E-06
S2,-3.60735318,-2.77569619,1.63E-33,1,6.57E-176,6.16E-28
S20,0.187811659,0.437372221,1.63E-05,8.40E-13,5.53E-173,0.999983653
S200,0.322194248,0.485433428,0.003534844,5.90E-12,1.78E-184,0.996465156
S201,1.069390029,1.410901808,1,1.82E-25,1.45E-205,1.93E-15
S202,-0.552917648,1.486506499,0.999994746,1.55E-15,2.15E-191,5.25E-06
S203,-0.471716395,-0.682573541,2.56E-06,3.85E-12,2.97E-182,0.999997444
S204,0.941109664,1.208210099,2.16E-06,1.37E-14,1.75E-182,0.999997838
S205,0.709233297,-0.290847983,1.92E-06,7.91E-16,2.99E-184,0.999998076
S206,0.504590413,0.285701468,1.12E-05,1.93E-11,5.77E-182,0.9999888
S207,1.044511402,0.976597569,2.49E-06,1.67E-11,2.46E-177,0.999997506
S208,-2.386620857,-2.006241366,4.94E-08,8.50E-15,1.28E-181,0.999999951
S21,1.685762661,1.126506951,4.46E-06,1.98E-13,4.28E-181,0.999995537
S210,0.110869124,-0.72052508,8.83E-05,3.57E-11,9.56E-182,0.999911702
S211,0.114194562,-0.341087904,2.03E-05,3.45E-09,4.22E-182,0.999979647
S214,2.149619556,1.612462015,3.83E-06,3.76E-10,4.96E-175,0.999996166
S215,-0.268695627,0.063364373,1.97E-06,3.30E-08,5.14E-177,0.999997999
S216,0.726741321,1.36270943,3.27E-08,1.77E-14,2.16E-180,0.999999967
S22,0.489936838,1.455763967,9.09E-06,2.03E-12,6.07E-184,0.999990914
S220,0.849288261,-0.056035919,5.83E-07,2.00E-09,9.05E-175,0.999999415
S221,0.156085529,-0.156706243,2.10E-07,3.18E-12,2.37E-174,0.99999979
S23,-0.336373126,-0.450526431,0.99999691,5.46E-18,3.84E-196,3.09E-06
